Ticker_no,Ticker,Name,Ticker_s,Price,MKT CAP,1Y Return,1M Return,Momentum Return,Momentum Rank,P/S,P/E,P/FCF,P/B,PS Rank,PE Rank,PFCF Rank,PB Rank,Value Average,Value Rank,Sector,ROA,ROE,Gross margin,GPOA,Gross Profit,Asset,ROA Rank,ROE Rank,GM Rank,GPOA Rank,Profitability Average,Profitability Rank,Name
NYSE:ABBV,ABBV,abbvie,ABBV,147.06,2.60016E+11,35.65169265,3.45409778,31.10%,36,4.52,20.23,18.9,16.4,151,238,312,48,187,313,Health Technology,8.62899182,92.29299831,70.77717135,27%,39053000000,1.43E+11,182,25,75,162,111,68,AbbVie Inc.
NYSE:PFE,PFE,pfizer,PFE,44.95,2.52275E+11,4.40134711,0.31243026,4.10%,139,3.01,8.4,15.94,3.12,245,398,335,270,312,134,Health Technology,16.14358862,37.49292532,59.08126511,24%,46875000000,1.95E+11,70,85,120,194,117,75,"Pfizer, Inc."
NYSE:MRK,MRK,merck-and-co,MRK,95.67,2.42359E+11,17.95093083,10.92173913,6.30%,122,4.82,14.22,63.75,6.15,136,321,97,142,174,333,Health Technology,16.82753321,43.48485046,71.09923559,33%,35441000000,1.07E+11,59,66,74,119,80,41,"Merck & Company, Inc."
NYSE:KO,KO,coca-cola,KO,55.96,2.42006E+11,2.49084249,-6.95044895,10.10%,107,6.17,25.04,64.15,10.36,95,168,95,84,111,421,Consumer Non-Durables,10.43940162,42.29902329,59.00434993,25%,23218000000,93169000000,148,68,121,181,130,95,Coca-Cola Company (The)
NASDAQ:PEP,PEP,pepsico,PEP,173.06,2.38426E+11,7.23093128,1.87190958,5.30%,128,3,24.53,200.53,14.78,247,175,13,57,123,408,Consumer Non-Durables,10.34973231,55.74908893,53.39676999,45%,42536000000,94461000000,152,45,152,52,100,60,"PepsiCo, Inc."
NASDAQ:COST,COST,costco-wholesale,COST,478.18,2.11644E+11,1.79023778,-4.839801,7.00%,121,0.91,35.36,118.09,9.96,452,95,37,85,167,341,Retail Trade,9.46902798,30.5920536,12.14871736,43%,27572000000,64166000000,165,126,425,58,194,185,Costco Wholesale Corporation
NYSE:ORCL,ORCL,oracle,ORCL,72.7,1.95974E+11,-24.71782127,5.80701499,-28.80%,383,4.55,32.89,127.54,,149,105,30,,95,443,Technology Services,4.58786967,,73.78730921,25%,32413000000,1.30E+11,287,,60,182,176,160,Oracle Corporation
NYSE:TMO,TMO,thermo-fisher-scientific,TMO,496.74,1.94617E+11,-18.69117575,-6.82397959,-12.70%,255,4.93,25.91,41.43,4.71,128,157,176,181,161,353,Health Technology,9.39997599,18.79793296,45.87575899,22%,19634000000,90579000000,167,226,190,218,200,192,Thermo Fisher Scientific Inc
NYSE:BABA,BABA,alibaba,BABA,72.18,1.87747E+11,-59.22033898,-15.20206767,-51.90%,472,1.48,39.68,21.26,1.29,395,70,296,418,295,152,Retail Trade,1.88428372,3.32708699,34.75820665,18%,47170778745,2.55E+11,379,400,262,251,323,372,Alibaba Group Holding Limited
NASDAQ:AVGO,AVGO,broadcom,AVGO,449.73,1.87377E+11,-11.71724707,-8.40342981,-3.60%,178,6.72,18.75,32.08,7.12,88,256,228,124,174,333,Electronic Technology,13.75623276,44.73161034,60.49873737,21%,14885000000,71326000000,91,64,113,225,123,89,Broadcom Inc.
NYSE:MCD,MCD,mcdonalds,MCD,254.55,1.87277E+11,5.98742557,-0.22733508,6.20%,123,8.09,30.78,63.32,,68,118,98,,95,443,Consumer Services,12.0250067,,54.62058794,25%,12510900000,49247800000,110,,141,173,141,111,McDonald's Corporation
NYSE:DIS,DIS,walt-disney,DIS,102.04,1.86025E+11,-40.04700353,-4.98184188,-36.90%,431,2.67,57.29,161.84,2.02,278,40,22,354,174,335,Consumer Services,1.57077985,3.56056929,29.13021227,8%,17258000000,2.04E+11,392,399,311,383,371,444,Walt Disney Company (The)
NYSE:ACN,ACN,accenture,ACN,269.57,1.79206E+11,-22.04453441,-0.15925926,-21.90%,330,2.73,24.44,29.12,7.47,273,179,251,116,205,295,Technology Services,15.20837533,33.03508101,32.13578593,42%,19793814000,47263390000,78,109,281,60,132,98,Accenture plc
NYSE:DHR,DHR,danaher,DHR,244.59,1.78052E+11,-22.22893482,-11.69717318,-11.90%,244,6.08,26.84,38.34,4.15,102,148,195,214,165,344,Electronic Technology,8.27381244,14.9608563,60.6496,22%,17952000000,81030000000,191,263,112,213,195,187,Danaher Corporation
NASDAQ:CSCO,CSCO,cisco,CSCO,42.8,1.75859E+11,-23.62598144,1.1342155,-24.50%,346,3.39,14.79,29.15,4.31,221,313,250,204,247,224,Electronic Technology,12.33635685,29.14815912,62.32519348,34%,31935000000,94002000000,107,139,102,114,116,71,"Cisco Systems, Inc."
NASDAQ:TMUS,TMUS,t-mobile,TMUS,136.46,1.71126E+11,12.22039474,-2.73005916,15.40%,80,2.13,99.32,20.94,2.46,326,19,298,313,239,241,Communications,0.83078046,2.4988364,39.21101832,14%,29163000000,2.09E+11,427,406,237,305,344,402,"T-Mobile US, Inc."
NYSE:WFC,WFC,wells-fargo,WFC,44.83,1.70042E+11,-10.25025025,2.67979844,-12.60%,253,2.09,11.34,8.49,1.01,328,352,388,445,378,51,Finance,0.83848078,8.79915228,,,,1.88E+12,426,344,,,385,462,Wells Fargo & Company
NYSE:ABT,ABT,abbott,ABT,95.06,1.66471E+11,-23.0345721,-7.59210654,-16.70%,283,3.95,21.46,46.23,4.69,180,224,157,182,186,316,Health Technology,11.55481417,24.24242424,59.2071952,31%,23214000000,74202000000,123,186,119,133,140,110,Abbott Laboratories
NYSE:CRM,CRM,salesforce,CRM,160.17,1.6017E+11,-44.66784123,5.9185293,-47.80%,465,5.79,294.39,37.24,2.68,107,8,198,292,151,368,Technology Services,0.58641401,0.92719127,63.68008186,18%,17391000000,94148000000,433,416,98,252,300,341,"Salesforce, Inc."
NYSE:COP,COP,conocophillips,COP,124.49,1.5848E+11,64.56047588,9.03915214,50.90%,12,3.51,10.03,10.29,3.49,209,377,375,251,303,144,Energy Minerals,17.76700764,33.67979847,38.1455864,16%,14727000000,93693000000,50,105,248,289,173,154,ConocoPhillips
NYSE:BMY,BMY,bristol-myers-squibb,BMY,72.21,1.54187E+11,24.30710966,3.54172641,20.10%,63,3.4,23.37,12.92,4.26,219,206,357,211,248,223,Health Technology,6.26746356,19.06696634,58.36373664,27%,26761000000,1.00E+11,242,225,123,164,189,177,Bristol-Myers Squibb Company
NYSE:VZ,VZ,verizon,VZ,35.35,1.4846E+11,-34.25702064,-13.1236176,-24.30%,342,1.15,7.43,24.48,1.9,432,403,278,364,369,60,Communications,5.78282502,26.04758923,45.01172529,17%,61106000000,3.70E+11,250,167,201,274,223,231,Verizon Communications Inc.
NASDAQ:TXN,TXN,texas-instruments,TXN,159.72,1.45937E+11,-19.99799644,-4.08935327,-16.60%,282,7.84,16.81,73.26,10.65,70,275,82,82,127,399,Electronic Technology,37.6825663,67.65696177,69.25786035,49%,12234000000,24723000000,6,33,80,41,40,6,Texas Instruments Incorporated
NYSE:UPS,UPS,united-parcel,UPS,165.55,1.44004E+11,-15.36731251,-6.51118139,-9.50%,222,1.45,12.93,25.51,9.83,400,336,271,86,273,180,Transportation,16.20207768,80.70421496,21.55308716,25%,17432000000,70089000000,69,26,366,183,161,134,"United Parcel Service, Inc."
NYSE:LIN,LIN,linde,LIN,288.32,1.43104E+11,-7.34325288,2.28103161,-9.40%,221,4.78,40.89,40.63,3.26,140,65,183,266,164,348,Process Industries,4.37403686,8.30417432,27.88502789,11%,8615000000,77885000000,289,348,322,346,326,379,Linde plc
NASDAQ:ADBE,ADBE,adobe,ADBE,306.37,1.42431E+11,-51.52373418,4.62027045,-53.70%,477,9.2,29.8,43.09,9.71,51,126,167,88,108,428,Technology Services,18.20072606,33.43870497,86.70218995,51%,13764000000,26744000000,47,106,16,37,52,13,Adobe Inc.
NYSE:NEE,NEE,nextera-energy,NEE,71.65,1.42327E+11,-14.91509322,-16.68604651,2.10%,147,6.55,54.08,,3.73,91,46,,238,125,401,Utilities,1.79926983,7.03275136,46.09803922,6%,8863000000,1.52E+11,384,367,187,406,336,387,"NextEra Energy, Inc."
NYSE:NKE,NKE,nike,NKE,88.5,1.38475E+11,-44.14641843,-13.80149995,-35.20%,420,2.99,24.66,73.83,8.93,248,171,78,95,148,376,Consumer Non-Durables,14.27757737,37.39433118,45.14284504,53%,21584000000,41088000000,86,87,200,35,102,64,"Nike, Inc."
NYSE:MS,MS,morgan-stanley,MS,79.22,1.36007E+11,-21.06416899,-9.87485779,-12.40%,251,2.26,11.12,7.63,1.39,310,357,396,410,368,62,Finance,1.06266526,12.07168195,,,,1.16E+12,406,297,,,352,417,Morgan Stanley
NASDAQ:AMGN,AMGN,amgen,AMGN,251.94,1.3477E+11,19.88579586,9.95504735,9.00%,112,5.46,20.97,29.51,20.62,114,230,247,41,158,358,Health Technology,11.04588173,123.3077067,75.66652721,33%,19533000000,59294000000,137,17,55,121,83,48,Amgen Inc.
NASDAQ:CMCSA,CMCSA,comcast,CMCSA,30.48,1.34516E+11,-44.318597,-10.40564374,-37.90%,433,1.22,9.94,15.17,1.44,426,378,340,401,386,44,Consumer Services,5.16032027,15.06431067,55.77264508,24%,64131000000,2.67E+11,268,262,138,193,215,219,Comcast Corporation
NYSE:PM,PM,philip-morris,PM,86.51,1.34105E+11,-10.46367212,-10.06341616,-0.40%,165,4.23,15.15,40.7,,163,306,182,,217,278,Consumer Non-Durables,21.18922071,,67.42817365,52%,21220000000,40717000000,36,,89,36,54,14,Philip Morris International Inc
NYSE:SCHW,SCHW,schwab,SCHW,70.32,1.33403E+11,-13.71779141,-5.43302851,-8.80%,217,6.79,20.65,57.43,2.66,85,232,112,294,181,323,Finance,1.14669223,14.38978421,88.57156571,3%,16755000000,5.78E+11,401,270,11,440,281,305,Charles Schwab Corporation (The)
NYSE:RTX,RTX,raytheon,RTX,88.54,1.30731E+11,-3.05485602,1.58329509,-4.60%,184,2.04,29.26,65.57,1.78,336,130,94,376,234,249,Electronic Technology,2.82644602,6.34660488,20.1935889,8%,12497000000,1.59E+11,346,375,378,388,372,446,Raytheon Technologies Corporation
NASDAQ:QCOM,QCOM,qualcomm,QCOM,115.74,1.29976E+11,-12.31818182,-7.73278061,-5.00%,188,3.83,9.92,27.27,12.66,185,379,261,67,223,265,Electronic Technology,29.98286494,106.1795666,57.98865713,41%,19304000000,47020000000,9,21,127,65,56,16,QUALCOMM Incorporated
NASDAQ:NFLX,NFLX,netflix,NFLX,289.57,1.28865E+11,-53.9553817,19.3266576,-61.40%,485,4.11,24.02,,7.51,168,191,,115,158,358,Technology Services,11.17155,28.14554059,39.61868362,26%,12365161000,47562187000,132,149,226,167,169,145,"Netflix, Inc."
NASDAQ:HON,HON,honeywell,HON,182.81,1.23158E+11,-18.24970933,2.75420156,-20.40%,318,3.62,24.23,58.02,6.55,201,186,110,136,158,357,Producer Manufacturing,8.05052178,28.6366583,33.81127913,21%,12773000000,62258000000,194,146,269,229,210,206,Honeywell International Inc.
NYSE:ELV,ELV,anthem,ELV,511.04,1.2205E+11,21.67619048,6.66666667,14.10%,85,0.89,19.7,18.53,3.37,453,247,319,259,320,121,Health Services,6.17944561,17.32377872,,,,1.03E+11,244,241,,,243,256,"Elevance Health, Inc."
NYSE:T,T,at-and-t,T,17.1,1.21855E+11,-13.26290789,3.13630881,-15.90%,273,0.71,6.2,17.09,0.72,466,414,328,462,418,21,Communications,4.14905965,14.11504069,40.85002414,16%,66195000000,4.26E+11,301,272,223,295,273,293,AT&T Inc.
NYSE:CVS,CVS,cvs-health,CVS,92.72,1.21725E+11,8.01491146,-9.044536,18.80%,66,0.41,14.78,10.45,1.6,488,314,373,390,391,41,Retail Trade,3.53976547,11.00466219,17.33388791,23%,51872000000,2.30E+11,325,310,395,208,310,358,CVS Health Corporation
NYSE:LMT,LMT,lockheed-martin,LMT,454.61,1.19141E+11,22.32866023,6.21977149,15.20%,82,1.84,20.41,20.72,10.99,356,237,300,77,243,234,Electronic Technology,11.30033791,54.35014122,12.98940082,20%,10597000000,52030000000,129,49,416,232,207,203,Lockheed Martin Corporation
NASDAQ:INTU,INTU,intuit,INTU,417.18,1.1759E+11,-26.81052632,-1.17496565,-25.90%,354,8.95,55.36,43.64,6.88,54,43,166,130,98,440,Technology Services,9.55375723,15.70505511,77.82492535,36%,9904000000,27734000000,163,253,40,103,140,109,Intuit Inc.
NYSE:IBM,IBM,international-bus-mach,IBM,129.9,1.17323E+11,1.86322183,2.37213334,-0.50%,166,2.02,93.53,24.85,6.1,338,21,273,144,194,309,Technology Services,1.01753658,6.49583964,54.05646507,24%,30810000000,1.26E+11,411,372,149,186,280,303,International Business Machines Corporation
NYSE:UNP,UNP,union-pacific,UNP,190.53,1.17138E+11,-16.98039216,-11.33603239,-6.40%,198,5.6,16.63,50.1,8.41,110,279,135,101,156,363,Transportation,11.07413295,55.11301637,45.98821025,16%,10514000000,65343000000,134,46,188,282,163,137,Union Pacific Corporation
NYSE:DE,DE,deere,DE,383.06,1.15615E+11,11.37731515,6.31695809,4.80%,132,2.62,18.27,26.18,6.11,283,263,268,143,239,240,Producer Manufacturing,7.36455628,35.48498447,29.61696306,16%,13591000000,86817000000,209,91,307,291,225,233,Deere & Company
NYSE:LOW,LOW,lowe-s,LOW,182.37,1.13197E+11,-18.91423236,-4.97108019,-14.70%,269,1.29,14.05,26.17,,417,324,269,,337,101,Retail Trade,17.47443539,,31.49215867,65%,30394000000,46725000000,52,,288,11,117,72,"Lowe's Companies, Inc."
NYSE:GS,GS,golden-sachs-etf-trust-goldman,GS,325.1,1.11655E+11,-20.08357915,0.05539825,-20.10%,314,1.72,8.28,,1.04,369,400,,442,404,34,Finance,0.92459578,12.31263621,,,,1.56E+12,420,293,,,357,425,"Goldman Sachs Group, Inc. (The)"
NASDAQ:INTC,INTC,intel,INTC,26.97,1.10739E+11,-50.89667729,-7.47855918,-46.90%,460,1.35,5.59,52.23,1.11,410,420,127,435,348,84,Electronic Technology,11.75638047,20.49617809,49.84876148,26%,43606000000,1.70E+11,118,206,172,171,167,141,Intel Corporation
NYSE:MDT,MDT,medtronic,MDT,83.26,1.10665E+11,-31.72051829,-6.21761658,-27.20%,374,3.52,21.34,54.35,2.09,208,226,121,343,225,260,Health Technology,5.72871954,9.99443154,62.40102993,22%,19924000000,89914000000,252,328,101,211,223,231,Medtronic plc.
NYSE:AXP,AXP,american-express,AXP,140.04,1.04642E+11,-22.0180421,-9.45884787,-13.90%,264,2.58,14.26,11.18,4.89,285,320,370,176,288,159,Finance,3.84581068,30.93041375,,13%,28510000000,2.15E+11,313,124,,317,251,266,American Express Company
NYSE:BX,BX,blackstone,BX,85.43,1.02716E+11,-35.38798971,-7.07059719,-30.50%,394,4.81,23.73,,10.71,137,198,,80,138,384,Finance,6.52796832,31.10935948,99.90136665,31%,12453559000,40259321000,231,122,1,136,123,87,Blackstone Inc.
NASDAQ:SBUX,SBUX,starbucks,SBUX,88.61,1.01671E+11,-22.22417274,-2.93569942,-19.90%,312,3.54,24.4,34.43,,205,181,218,,201,299,Consumer Services,14.46289452,,20.73944323,23%,6597100000,28156200000,83,,373,199,218,225,Starbucks Corporation
NYSE:CAT,CAT,caterpillar,CAT,190.22,1.00419E+11,-5.64484127,6.10218652,-11.10%,235,1.94,14.44,47.37,5.87,347,317,153,148,241,235,Producer Manufacturing,8.29955038,41.4987715,28.66848078,18%,14307000000,81107000000,190,70,318,262,210,207,"Caterpillar, Inc."
NYSE:SPGI,SPGI,s-and-p-global,SPGI,295.94,98695990814,-32.82335316,-13.41213646,-22.40%,332,8.51,21.76,40.47,34.64,63,220,184,24,123,409,Commercial Services,9.46719677,18.07951251,64.24610233,9%,5924000000,64323000000,166,235,94,373,217,223,S&P Global Inc.
NASDAQ:PYPL,PYPL,paypal,PYPL,83.94,97074584000,-67.5418584,-9.80982057,-64.00%,488,3.93,48.93,41.17,4.56,181,51,179,188,150,371,Commercial Services,2.71193595,10.11014949,43.22791795,16%,12111000000,77810000000,352,326,213,294,296,333,"PayPal Holdings, Inc."
NASDAQ:ADP,ADP,automatic-data-processing,ADP,232.74,96654989516,9.22658157,-1.21811468,10.60%,105,5.86,32.77,69.86,29.61,105,107,87,28,82,453,Technology Services,5.27321449,66.29943566,46.8569489,12%,7730600000,63068200000,265,34,184,329,203,194,"Automatic Data Processing, Inc."
NASDAQ:AMD,AMD,advanced-micro-devices,AMD,58.82,94954356189,-49.51072961,-22.02558494,-35.20%,421,4.32,24.29,55.78,9.3,159,184,115,92,138,385,Electronic Technology,8.00583172,10.0588103,43.7940304,12%,7929000000,67502000000,196,327,209,333,266,286,"Advanced Micro Devices, Inc."
NYSE:CI,CI,cigna,CI,301.34,91943708690,41.2156146,3.52836088,36.40%,26,0.58,17.55,16.67,2.02,477,273,330,355,359,69,Health Services,3.69143908,11.58338707,,,,1.48E+11,319,307,,,313,362,Cigna Corporation
NYSE:BLK,BLK,blackrock,BLK,597.26,90486832647,-33.85312261,-5.09740363,-30.30%,393,4.38,15.77,77.33,2.3,153,295,70,326,211,290,Finance,3.85372102,15.96509942,80.19769537,13%,16133000000,1.26E+11,312,251,32,320,229,235,"BlackRock, Inc."
NYSE:C,C,citigroup,C,44.26,85949399497,-37.88941903,-6.32804233,-33.70%,414,1.1,5.88,9.76,0.47,439,416,376,470,425,13,Finance,0.6600969,7.83807128,,,,2.38E+12,430,355,,,393,472,"Citigroup, Inc."
NASDAQ:GILD,GILD,gilead,GILD,67.79,84965779338,1.04337457,4.97057913,-3.70%,179,3.05,20.17,12.73,3.94,243,239,359,227,267,189,Health Technology,6.32307763,20.7165928,77.4274584,33%,20771000000,62870000000,241,205,47,120,153,122,"Gilead Sciences, Inc."
NYSE:BA,BA,boeing,BA,141.32,83917397088,-34.737231,-3.71329291,-32.20%,409,1.31,,,,414,,,,414,24,Electronic Technology,-3.711491,,8.40261429,5%,6482000000,1.35E+11,467,,433,422,441,495,Boeing Company (The)
NYSE:CB,CB,chubb,CB,197.79,82605293353,6.97133586,4.95065266,1.90%,149,2.08,11.6,7.67,1.37,329,348,395,411,371,57,Finance,4.06505911,12.82209632,,,,1.74E+11,305,286,,,296,330,Chubb Limited
NYSE:SYK,SYK,stryker,SYK,218.31,82591193108,-20.18499561,-0.60553633,-19.70%,308,4.79,39.46,57.18,5.44,139,71,113,160,121,412,Health Technology,5.96300014,14.0977826,61.393159,30%,10709000000,36032000000,246,273,106,144,192,183,Stryker Corporation
NYSE:NOC,NOC,northrop-grumman,NOC,522.66,80861405843,30.665,3.39670419,26.40%,43,2.31,14.32,53.28,6.2,309,319,125,141,224,264,Electronic Technology,13.50052346,45.71566692,20.93143004,17%,7268000000,41914000000,95,63,371,267,199,190,Northrop Grumman Corporation
NYSE:MO,MO,altria,MO,44.48,80100622418,-7.71784232,3.0583874,-10.50%,230,3.81,44.78,48.85,,189,55,142,,129,396,Consumer Non-Durables,4.29166564,407.7283372,86.96299856,38%,13992000000,36746000000,292,6,15,81,99,53,"Altria Group, Inc."
NYSE:GE,GE,general-electric,GE,72.82,79850996450,-31.14599092,8.65413309,-36.60%,429,1.04,,68.83,1.91,444,,89,363,299,149,Producer Manufacturing,-1.98346014,-12.31654338,28.68874385,11%,20637000000,1.86E+11,458,441,317,343,390,468,General Electric Company
NYSE:EOG,EOG,eog,EOG,135,79116006775,46.78699576,10.75559931,32.50%,33,3.89,13.51,22.98,3.47,183,329,289,253,264,197,Energy Minerals,15.21646406,26.4302086,53.09077269,23%,8861000000,38139000000,77,163,154,201,149,120,"EOG Resources, Inc."
NASDAQ:MDLZ,MDLZ,mondelez,MDLZ,57.35,78601967306,-4.68672096,-4.32098765,-0.40%,164,2.8,20.64,69.4,2.8,268,233,88,284,218,275,Consumer Non-Durables,5.83133949,14.03349439,35.50103755,16%,10655000000,66014000000,247,274,259,281,265,284,"Mondelez International, Inc."
NYSE:TJX,TJX,tjx-cos,TJX,67.61,78498792586,5.80594679,5.60762262,0.20%,160,1.64,23.32,97.5,12.86,377,207,51,65,175,332,Retail Trade,12.02711054,56.9348065,27.71587167,51%,13763891000,27090606000,109,43,325,39,129,94,"TJX Companies, Inc. (The)"
NASDAQ:ISRG,ISRG,intuitive-surgical,ISRG,218.49,78025222705,-36.1551049,9.03238685,-41.40%,445,13.58,56.1,75.71,6.36,29,41,74,139,71,463,Health Technology,10.52093116,11.99048071,71.83020317,30%,3940100000,13260800000,146,299,72,145,166,139,"Intuitive Surgical, Inc."
NASDAQ:REGN,REGN,regeneron-pharmaceuticals,REGN,713.91,77822129600,26.47215136,1.85473171,24.20%,45,4.93,14.09,10.85,4.09,129,323,371,219,261,200,Health Technology,23.35839578,31.75643793,82.89003852,49%,13348000000,27205800000,23,115,23,43,51,12,"Regeneron Pharmaceuticals, Inc."
NASDAQ:ABNB,ABNB,airbnb,ABNB,119.95,77811394513,-29.05473343,3.07639426,-31.20%,400,12.03,64.02,46.65,15.52,37,34,154,54,70,466,Consumer Services,7.22814563,28.90507843,71.83651123,25%,4835927000,19059126000,213,143,71,176,151,121,"Airbnb, Inc."
NASDAQ:VRTX,VRTX,vertex-pharmaceutical,VRTX,300,76937841797,61.68872011,4.55147418,54.60%,10,9.92,23.47,23.7,7.31,48,205,284,121,165,346,Health Technology,22.97972305,30.23799076,88.02701912,43%,6700200000,15582200000,27,128,13,57,56,17,Vertex Pharmaceuticals Incorporated
